"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","011_eec2d5bdcd","SUCCESS",""
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","012_225a105eef","SUCCESS",""
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","013_c4fd0a0e8d","ERROR","FAILURE: 'feel-date-and-time-function_013_c4fd0a0e8d' expected='null' but found='2017-12-31T11:22:33.345'"
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","014_ded0e5fe2f","ERROR","FAILURE: 'feel-date-and-time-function_014_ded0e5fe2f' expected='null' but found='2017-12-31T11:22:33.123456789'"
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","015_9e27148afd","ERROR","FAILURE: 'feel-date-and-time-function_015_9e27148afd' expected='null' but found='2017-12-31T11:22:33Z'"
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","016_c08e4d417a","ERROR","FAILURE: 'feel-date-and-time-function_016_c08e4d417a' expected='null' but found='2017-12-31T11:22:33.567Z'"
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","017_47816add0e","ERROR","FAILURE: 'feel-date-and-time-function_017_47816add0e' expected='null' but found='2017-12-31T11:22:33+01:00'"
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","018_0614e473e7","ERROR","FAILURE: 'feel-date-and-time-function_018_0614e473e7' expected='null' but found='2017-12-31T11:22:33-02:00'"
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","019_c312e3dfe3","ERROR","FAILURE: 'feel-date-and-time-function_019_c312e3dfe3' expected='null' but found='2017-12-31T11:22:33+01:35'"
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","020_29e0585b6f","ERROR","FAILURE: 'feel-date-and-time-function_020_29e0585b6f' expected='null' but found='2017-12-31T11:22:33-01:35'"
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","021_99f0215b60","ERROR","FAILURE: 'feel-date-and-time-function_021_99f0215b60' expected='null' but found='2017-12-31T11:22:33.456+01:35'"
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","022_b8b20f0328","ERROR","FAILURE: 'feel-date-and-time-function_022_b8b20f0328' expected='null' but found='-2017-12-31T11:22:33.456+01:35'"
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","023_2e41497673","SUCCESS",""
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","024_b4d1fb8735","SUCCESS",""
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","025_0cb7f83ec6","SUCCESS",""
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","026_5ba081cd5f","SUCCESS",""
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","027_ae365197dd","SUCCESS",""
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","028_1c3d56275f","SUCCESS",""
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","029_e3a5e786a0","ERROR","FAILURE: 'feel-date-and-time-function_029_e3a5e786a0' expected='null' but found='2017-01-01T23:59:01'"
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","030_2f97bff606","ERROR","FAILURE: 'feel-date-and-time-function_030_2f97bff606' expected='null' but found='2017-01-01T23:59:01Z'"
"compliance-level-3/1117-feel-date-and-time-function","1117-feel-date-and-time-function-test-01","031_61e70c285f","ERROR","FAILURE: 'feel-date-and-time-function_031_61e70c285f' expected='null' but found='2017-01-01T23:59:01+02:00'"
